SHIP'S NAME,AKA,SHIP'S OWNER,VESSEL TYPE,YEAR BUILT,WHERE BUILT,DATE LOST,YEAR,MNTH,DAY,LOCATION LOST,LATITUDE LOST,LONGITUDE LOST,CAUSE OF LOSS,CONSTRUCTION,FLAG,HOME (HAILING) PORT,DEPARTURE PORT,DESTINATION PORT,# CREW,# PASS,LIVES LOST,SHIP VALUE,NATURE OF CARGO,USLSS STATION NAME,MISC INFORMATION
74 H,93015,,Scow,,,7/28/1916,1916,7,28,Sandy Hook SE 5 mi,,,Grounded,,,,,,1,,0,,,USCG #97 & 99,
A B Crosby,,,Schooner,1884,,3/12/1888,1888,3,12,Atlantic Highlands,,,Grounded in snowstorm,,England,"Aspinwall, PA","Porto Bello, Panama","New York, NY",,,0,,Coconuts,,Refloated; Made New York 3/26/1888
A B Sherman,,,Schooner,1883,,12/8/1886,1886,12,8,Five Fathoms Bank Light,,,Storm,Wood,US,"Taunton, MA","Boston, MA","Baltimore, MD",,,,,,,#106238
A B Thompson,,,Yacht,,,7/18/1874,1874,7,18,Absecon,,,Capsized,,US,"Atlantic City, NJ","Atlantic City, NJ","Atlantic City, NJ",1,7,5,,,,
A C Austin,,,Schooner,,,2/1868,1868,2,,Sandy Hook Romer Shoal,,,Grounded,Wood,US,,,,,,,"$30,000",Coal,,
A C Wescoat (1989),\,A C Wescoat Co,Deck barge,,,10/11/1989,1989,10,11,Atlantic City Artificial Reef,39-15-540 N,74-14-691 W,Opened hull,Steel,US,NJ AR,AC,9,,,,,,,"Sponsor Atlantic Cty Party & CBA, et al"
A C Wescoat (2006),,,Deck barge,,,7/26/2006,2006,7,25,Ocean City Artificial Reef,39-09-819 N,74-34-310 W,Scuttled,Steel,US,NJ AR,OC,85,,,,,,,Sponsor - A C Wescoat
A D Scull,,,Schooner,1864,,4/18/1880,1880,4,18,Townsends Inlet,,,Grounded,Wood,US,Great Egg Harbor,"Fall River, MA","New Castle, DE",7,0,0,"$8,000",Barrels,#34 Townsend's Inlet,#501; Refloated
A E Douglass,,,Schooner,1855,,6/4/1862,1862,6,4,Barnegat N 8 mi,,,Foundered,Wood,US,"Middletown, CT","Philadelphia, PA","Boston, MA",3,3,5,,Coal,,
A F Baillie,,,Schooner,1872,,11/17/1875,1875,11,17,"Carters Bar, VA",,,Storm,Wood,US,"Tuckerton, NJ","Baltimore, MD","Boston, MA",6,,,"$13,000",Coal,,#105159
A F Crockett,,,Schooner,1881,"Bath, ME",5/21/1894,1894,5,21,Harvey Cedars NE .5 mi,,,Stranded,Wood,US,"Rockland, ME","Brunswick, GA","New York, NY",7,0,0,"$16,000",Lumber,Harvey Cedars,#106034; Total loss
A Field,A D Field,,Schooner,,,2/10/1852,1852,2,10,Deal Beach,,,Stranded,,,,"Cardenas, Mexico","New York, NY",10,,1,,,,"aka ""A D Field"""
A G Ropes,,Luckenbach SS Co,Schooner - Barge,1884,"Bath, ME",12/26/1913,1913,12,26,Island Beach,,,Foundered in gale,Wood,US,"New York, NY","Philadelphia, PA","Providence, RI",5,,5,"$50,000",Coal,,#106318; Total loss
